sample_id,label,source_type,curve_path,transit_depth_est,transit_depth_snr,in_transit_fraction_est,autocorr_lag1,slope_linear,min_time_offset,skewness_flux,kurtosis_flux,depth_to_mad_ratio,ingress_egress_balance,p2p_to_std_ratio,binning_std_ratio,local_global_std_ratio
neg_baseline_0_01673,0,neg_baseline,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\processed\neg_baseline_0_01673.csv,0.05453840678683641,2.530248627275835,0.2653846153846154,0.9948384971969275,-0.22911955625647842,0.0800000000745058,-0.9853478927830075,0.06610379899029573,4.500162971021505,-1.6362930584582065,0.10172747625060116,0.9946808991482131,0.17838110189385617
neg_baseline_0_01684,0,neg_baseline,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\processed\neg_baseline_0_01684.csv,0.05326215189731498,2.3225694672578463,0.29615384615384616,0.9871418739760879,-0.1552754058838924,0.07938223937526345,-0.7742182585057519,-0.38679005240100306,3.3917063386232855,-1.6210352282110818,0.15943280434625734,0.99051531890148,0.18720097575332603
neg_baseline_0_01686,0,neg_baseline,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\processed\neg_baseline_0_01686.csv,0.018507639987464075,2.2410587730261384,0.2423076923076923,0.9213605575337004,-0.08888876175265874,0.07752895774319768,-0.7887686238404146,0.2260240813166634,3.5603404522435333,-1.597034039331907,0.3955750731318503,0.9521024484740715,0.41219657435844753
neg_baseline_0_01691,0,neg_baseline,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\processed\neg_baseline_0_01691.csv,0.01568447865266953,1.282603778658964,0.3346153846153846,0.9422175382679537,0.23893158842718548,-0.04725868720561266,0.26380185586499943,-1.0003139094794624,1.573990755869007,0.541828323851387,0.3387770469383986,0.9654718052276562,0.4231433348606205
neg_baseline_0_01695,0,neg_baseline,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\processed\neg_baseline_0_01695.csv,0.011037129930401401,1.2264214057900225,0.2653846153846154,0.8865348782453687,-0.11406167676001118,0.03305019298568368,0.7370963764656517,0.5486137718875459,1.9304967654089904,0.3624931181308398,0.4739870670543337,0.9223365580906651,0.547768157140604
neg_baseline_0_01715,0,neg_baseline,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\processed\neg_baseline_0_01715.csv,0.03430344597778334,2.207400047008866,0.27692307692307694,0.9933041886410295,-0.0724637760789802,0.0800000000745058,-0.7542147250882297,-0.4393385421026652,3.3776376033807654,-1.43823504244466,0.11504988905022993,0.9933047505209119,0.20761584832706384
neg_baseline_0_01725,0,neg_baseline,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\processed\neg_baseline_0_01725.csv,0.01529091833520646,1.5878757126459113,0.3230769230769231,0.9170796118029653,-0.1938378910060864,0.06949806958436966,0.10667356573718852,-0.8074128347437082,2.060279783921172,-0.8306477512663438,0.40568240147756734,0.9572023017759166,0.3660546877274134
neg_baseline_0_01728,0,neg_baseline,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\processed\neg_baseline_0_01728.csv,0.02123837253568217,0.9384457356232561,0.3769230769230769,0.9931392229916726,0.08368991483682846,-0.00463320454582572,0.7047868050471212,-0.5558795324004633,1.3744656112749372,-0.09634446784815173,0.11637765352018052,0.993163672862356,0.15213911004354896
neg_baseline_0_01740,0,neg_baseline,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\processed\neg_baseline_0_01740.csv,0.034757385725772916,2.439870141803223,0.2423076923076923,0.9383672196117755,0.187417441926987,-0.07814671797677875,-1.0495406859186225,0.4442238243829677,4.711166457710567,1.4168682800140537,0.3489475879119817,0.9669561507834865,0.3479351753272578
neg_baseline_0_01744,0,neg_baseline,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\processed\neg_baseline_0_01744.csv,0.05849987306138993,2.3858816287345004,0.2923076923076923,0.9862522241842488,-0.1400518396638855,0.0800000000745058,-0.8391117357893273,0.06494145555081676,4.23870040326864,-1.3464618665067225,0.16488626996999797,0.9884091956967547,0.28881589045697
neg_baseline_0_01747,0,neg_baseline,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\processed\neg_baseline_0_01747.csv,0.012052417656428949,1.262553113964415,0.3038461538461538,0.9219436348538526,-0.08078798134014445,0.023166023194789886,0.49621433020823524,-0.5699859601560973,1.869395226007356,-0.6304794973157721,0.393447282973301,0.9461693161582073,0.6202363122689394
neg_baseline_0_01750,0,neg_baseline,C:\Users\Daniel\Desktop\En curso\Máster Astrofísica\TFM\src\classifier\data\training\processed\neg_baseline_0_01750.csv,0.03017256488188369,2.4565855419860894,0.25,0.9911737793810274,-0.14074975387879196,0.0787644786760211,-1.0530433780221304,0.412997211461934,4.00676067211639,-1.977065833697441,0.1327496113262383,0.9917808549588625,0.24890157150981654
